"",date,day_of_week,day_name,is_weekend,month,year,day_of_year,week_of_year,academic_period,period_type,seasonal_multiplier,period_description,total_enrollment,active_enrollment,residential_students,commuter_students,total_meal_plan_holders,enrollment_seasonal_factor,weather,weather_impact,campus_event,event_impact,event_scheduled,total_transactions,guest_transactions,base_transaction_rate,meal_swipes,dining_dollars_transactions,bronco_bucks_transactions,credit_debit_transactions,breakfast_transactions,lunch_transactions,dinner_transactions,late_night_transactions,estimated_daily_revenue,avg_transaction_value,labor_cost_actual,transactions_per_meal_plan_holder,facility_capacity_utilization,peak_meal_period_volume,actual_foh_general,actual_foh_cashier,actual_kitchen_prep,actual_kitchen_line,actual_dish_room,actual_management,total_actual_hours,revenue_per_labor_hour,transactions_per_labor_hour,labor_cost_percentage
0,2024-01-01,0,Monday,False,1,2024,1,1,winter_intersession,special,0.09,Minimal campus population,31002,2480,421,2059,581,0.08,sunny,1.000,conference_hosting,1.16,False,11,0,0.2044,10,0,0,1,1,5,2,3,145.75,13.25,459.38,0.019,0.006471,5,4.0,2.0,6.0,8.0,3.0,1.5,24.5,5.95,0.45,315.2
1,2024-01-02,1,Tuesday,False,1,2024,2,1,winter_intersession,special,0.09,Minimal campus population,31004,2480,421,2059,581,0.08,cloudy,1.023,regular_day,1.00,False,12,0,0.2044,11,0,0,1,2,6,3,1,159.00,13.25,459.38,0.021,0.007059,6,4.0,2.0,6.0,8.0,3.0,1.5,24.5,6.49,0.49,288.9
2,2024-01-03,2,Wednesday,False,1,2024,3,1,winter_intersession,special,0.09,Minimal campus population,31007,2480,421,2059,581,0.08,sunny,1.000,regular_day,1.00,False,12,0,0.2044,11,0,0,1,2,6,3,1,159.00,13.25,459.38,0.021,0.007059,6,4.0,2.0,6.0,8.0,3.0,1.5,24.5,6.49,0.49,288.9
3,2024-01-04,3,Thursday,False,1,2024,4,1,winter_intersession,special,0.09,Minimal campus population,31009,2480,421,2059,581,0.08,sunny,1.000,sports_events,1.12,False,12,0,0.2044,11,0,0,1,2,6,3,1,159.00,13.25,459.38,0.021,0.007059,6,4.0,2.0,6.0,8.0,3.0,1.5,24.5,6.49,0.49,288.9
4,2024-01-05,4,Friday,False,1,2024,5,1,winter_intersession,special,0.09,Minimal campus population,31011,2480,421,2059,581,0.08,cloudy,1.023,regular_day,1.00,False,10,0,0.2044,9,0,0,1,1,5,2,2,132.50,13.25,459.38,0.017,0.005882,5,4.0,2.0,6.0,8.0,3.0,1.5,24.5,5.41,0.41,346.7
5,2024-01-06,5,Saturday,True,1,2024,6,1,winter_intersession,special,0.09,Minimal campus population,31014,2481,421,2060,581,0.08,sunny,1.000,conference_hosting,1.16,False,9,0,0.2044,8,0,0,1,1,4,2,2,119.25,13.25,459.38,0.015,0.005294,4,4.0,2.0,6.0,8.0,3.0,1.5,24.5,4.87,0.37,385.2
6,2024-01-07,6,Sunday,True,1,2024,7,1,winter_intersession,special,0.09,Minimal campus population,31016,2481,421,2060,581,0.08,cloudy,1.023,regular_day,1.00,False,9,0,0.2044,8,0,0,1,1,4,2,2,119.25,13.25,459.38,0.015,0.005294,4,4.0,2.0,6.0,8.0,3.0,1.5,24.5,4.87,0.37,385.2
7,2024-01-08,0,Monday,False,1,2024,8,2,winter_intersession,special,0.09,Minimal campus population,31018,2481,421,2060,581,0.08,sunny,1.000,regular_day,1.00,False,10,0,0.2044,9,0,0,1,1,5,2,2,132.50,13.25,459.38,0.017,0.005882,5,4.0,2.0,6.0,8.0,3.0,1.5,24.5,5.41,0.41,346.7
8,2024-01-09,1,Tuesday,False,1,2024,9,2,winter_intersession,special,0.09,Minimal campus population,31021,2481,421,2060,581,0.08,sunny,1.000,regular_day,1.00,False,11,0,0.2044,10,0,0,1,1,5,2,3,145.75,13.25,459.38,0.019,0.006471,5,4.0,2.0,6.0,8.0,3.0,1.5,24.5,5.95,0.45,315.2
9,2024-01-10,2,Wednesday,False,1,2024,10,2,winter_intersession,special,0.09,Minimal campus population,31023,2481,421,2060,581,0.08,sunny,1.000,regular_day,1.00,False,12,0,0.2044,11,0,0,1,2,6,3,1,159.00,13.25,459.38,0.021,0.007059,6,4.0,2.0,6.0,8.0,3.0,1.5,24.5,6.49,0.49,288.9
10,2024-01-11,3,Thursday,False,1,2024,11,2,winter_intersession,special,0.09,Minimal campus population,31025,2482,421,2061,581,0.08,cloudy,1.023,regular_day,1.00,False,11,0,0.2044,10,0,0,1,1,5,2,3,145.75,13.25,459.38,0.019,0.006471,5,4.0,2.0,6.0,8.0,3.0,1.5,24.5,5.95,0.45,315.2
11,2024-01-12,4,Friday,False,1,2024,12,2,winter_intersession,special,0.09,Minimal campus population,31028,2482,421,2061,581,0.08,sunny,1.000,regular_day,1.00,False,9,0,0.2044,8,0,0,1,1,4,2,2,119.25,13.25,459.38,0.015,0.005294,4,4.0,2.0,6.0,8.0,3.0,1.5,24.5,4.87,0.37,385.2
12,2024-01-13,5,Saturday,True,1,2024,13,2,winter_intersession,special,0.09,Minimal campus population,31030,2482,421,2061,581,0.08,sunny,1.000,regular_day,1.00,False,7,0,0.2044,6,0,0,1,1,3,1,2,92.75,13.25,459.38,0.012,0.004118,3,4.0,2.0,6.0,8.0,3.0,1.5,24.5,3.79,0.29,495.3
13,2024-01-14,6,Sunday,True,1,2024,14,2,winter_intersession,special,0.09,Minimal campus population,31032,2482,421,2061,581,0.08,sunny,1.000,regular_day,1.00,False,9,0,0.2044,8,0,0,1,1,4,2,2,119.25,13.25,459.38,0.015,0.005294,4,4.0,2.0,6.0,8.0,3.0,1.5,24.5,4.87,0.37,385.2
14,2024-01-15,0,Monday,False,1,2024,15,3,spring_semester,regular,0.96,Regular spring semester,31035,29793,5064,24729,6992,0.96,cloudy,1.023,regular_day,1.00,False,1355,64,0.2044,1325,18,6,6,243,704,365,43,17953.75,13.25,2085.00,0.194,0.797059,704,22.6,10.5,23.4,33.7,15.0,6.0,111.2,161.45,12.19,11.6
15,2024-01-16,1,Tuesday,False,1,2024,16,3,spring_semester,regular,0.96,Regular spring semester,31037,29795,5065,24730,6993,0.96,cloudy,1.023,regular_day,1.00,False,1547,73,0.2044,1512,21,7,7,278,804,417,48,20497.75,13.25,2805.00,0.221,0.910000,804,32.2,14.3,30.0,44.1,21.5,7.5,149.6,137.02,10.34,13.7
16,2024-01-17,2,Wednesday,False,1,2024,17,3,spring_semester,regular,0.96,Regular spring semester,31039,29797,5065,24732,6994,0.96,sunny,1.000,conference_hosting,1.16,False,1805,85,0.2044,1765,25,9,6,324,938,487,56,23916.25,13.25,3140.62,0.258,1.000000,938,36.1,16.0,33.6,49.4,24.0,8.4,167.5,142.78,10.78,13.1
